Algorithm,Best Fitness,Mean Fitness,Std Fitness,Convergence Speed (iter),Mean Time (s),Std Time (s),Robustness
GA,0.2548806909042298,0.9885099323235977,0.650373470707168,70.66666666666667,0.35655961036682127,0.05815543674512042,0.6059234577804443
FA,58.90239951494946,74.5060572973157,9.138033005129072,25.8,4.910705018043518,0.7696933455937032,0.0986384636441878
PSO,12.703365802400242,34.3785837820056,9.428062384904868,74.2,0.18428261280059816,0.0364586045224657,0.09589509182909656
SA,64.93961065225804,99.11324851038334,20.08566091159038,90.56666666666666,0.0016742626825968425,0.00477364204661082,0.047425594302824024
CS,22.72347009591499,64.30959992807358,16.41256401541581,34.1,1.0928624788920085,0.08011776434485722,0.05742979604351623
ABC,0.3769198551245694,3.4995728145212386,1.568761168381747,79.9,0.360796864827474,0.04667209980105981,0.38929271133056487
