Algorithm,Best Fitness,Mean Fitness,Std Fitness,Convergence Speed (iter),Mean Time (s),Std Time (s),Robustness
GA,0.5954533903454989,2.1644761605079075,0.9285108873579959,21.6,0.20256713231404622,0.03254256159118628,0.5185347962281774
FA,6106.569424097323,12884.027298185838,2898.9542822170197,0.6,4.138225110371907,0.7977611871378878,0.00034483302241423557
PSO,4.789714038027555,32.56598074652941,20.77544568153753,37.2,0.14084726174672443,0.02695599042146853,0.04592328509022699
SA,1018.935945553621,13208.211708774212,6214.890067075518,82.3,0.0019024133682250977,0.0005737645592623898,0.00016087800607942295
CS,1138.165627213641,6863.637559612643,3569.696173862254,38.13333333333333,1.0762067000071207,0.15145598792208417,0.00028005743174680335
ABC,0.0017672274089302405,0.050954010395003344,0.08612420017259971,22.7,0.27816636562347413,0.053164100290062515,0.9207050168305675
