algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
FA,rastrigin,gamma,0.5,80.8967508902762,7.495460537232909,73.00141047368405,98.51969695398887
FA,rastrigin,gamma,0.8,80.89675088358098,7.495460532023171,73.00141047328518,98.51969695398887
FA,rastrigin,gamma,1.0,80.89675088358098,7.495460532023171,73.00141047328518,98.51969695398887
FA,rastrigin,gamma,1.2,80.89675088358098,7.495460532023171,73.00141047328518,98.51969695398887
FA,rastrigin,gamma,1.5,80.89675088358098,7.495460532023171,73.00141047328518,98.51969695398887
