algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
FA,sphere,beta0,0.5,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
FA,sphere,beta0,0.8,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
FA,sphere,beta0,1.0,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
FA,sphere,beta0,1.2,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
FA,sphere,beta0,1.5,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
