algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
FA,rastrigin,alpha,0.1,105.54476116790038,10.397690389968028,92.47820113204348,122.06789103051301
FA,rastrigin,alpha,0.3,83.92161421934419,6.19040228699375,71.62148262109201,92.1425262078639
FA,rastrigin,alpha,0.5,80.89675088358098,7.495460532023171,73.00141047328518,98.51969695398887
FA,rastrigin,alpha,0.7,76.59646264432534,4.5782359140730415,70.17616385766121,84.61623340929852
FA,rastrigin,alpha,1.0,71.43754066285013,7.328354948883875,55.3395175608166,83.67369607154843
