algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
FA,sphere,alpha,0.1,14675.43843274602,2420.2444326572595,8651.596436036485,16802.22701840785
FA,sphere,alpha,0.3,14674.228571105088,2419.4094482575288,8651.596436036485,16802.22701840785
FA,sphere,alpha,0.5,14671.974212728604,2419.0643166906907,8651.596436036485,16802.22701840785
FA,sphere,alpha,0.7,14658.94369944045,2409.306633189575,8651.596436036485,16802.22701840785
FA,sphere,alpha,1.0,14670.66489767484,2416.9799799397388,8651.596436036485,16802.22701840785
