n_ants,max_iter,alpha,beta,rho,avg_fitness,std_fitness,all_fitnesses
16,100,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.5,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.5,2.0,0.5,319.00888810215423,2.5590221487926317,"[np.float64(322.6278919313899), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,2.0,1.0,0.3,318.51922451831297,1.8665332675241286,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(321.1589011798662)]"
16,100,2.0,1.0,0.4,341.2809980423984,7.876819588957488,"[np.float64(330.1825956273439), np.float64(347.6581655116847), np.float64(346.0022329881666)]"
16,100,2.0,1.0,0.5,328.3764686810717,9.86006390141581,"[np.float64(326.74448983510814), np.float64(341.1855300205705), np.float64(317.1993861875364)]"
16,100,2.0,1.5,0.3,327.6807716369425,7.926839925883581,"[np.float64(336.364951854233), np.float64(317.1993861875364), np.float64(329.4779768690581)]"
16,100,2.0,1.5,0.4,334.38709902193926,12.562482781978181,"[np.float64(346.87464984327994), np.float64(339.0872610350013), np.float64(317.1993861875364)]"
16,100,2.0,1.5,0.5,332.6479296762086,14.08728151014852,"[np.float64(351.2664259720312), np.float64(329.4779768690581), np.float64(317.1993861875364)]"
16,100,2.0,2.0,0.3,319.0789091677214,2.658046889369547,"[np.float64(317.1993861875364), np.float64(322.83795512809144), np.float64(317.1993861875364)]"
16,100,2.0,2.0,0.4,319.881915690206,3.7936696041412485,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(325.2469746955451)]"
16,100,2.0,2.0,0.5,319.0789091677214,2.658046889369547,"[np.float64(317.1993861875364), np.float64(322.83795512809144), np.float64(317.1993861875364)]"
20,50,1.0,1.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,1.0,0.4,318.51922451831297,1.8665332675241286,"[np.float64(321.1589011798662), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,1.0,0.5,320.17864101019654,4.213302575971464,"[np.float64(326.1371506555169), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.0,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.5,1.0,0.3,325.3653500263558,3.1319015348517594,"[np.float64(329.7495314809809), np.float64(323.7186266666966), np.float64(322.6278919313899)]"
20,50,1.5,1.0,0.4,322.7026062827945,5.238562513084874,"[np.float64(329.7495314809809), np.float64(321.1589011798662), np.float64(317.1993861875364)]"
20,50,1.5,1.0,0.5,319.881915690206,3.793669604141249,"[np.float64(317.1993861875364), np.float64(325.2469746955451), np.float64(317.1993861875364)]"
20,50,1.5,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.5,1.5,0.4,319.00888810215423,2.5590221487926317,"[np.float64(317.1993861875364), np.float64(322.6278919313899), np.float64(317.1993861875364)]"
20,50,1.5,1.5,0.5,321.5271226674722,6.120343624302065,"[np.float64(317.1993861875364), np.float64(330.1825956273439), np.float64(317.1993861875364)]"
20,50,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,1.5,2.0,0.4,319.0789091677214,2.658046889369547,"[np.float64(317.1993861875364), np.float64(322.83795512809144), np.float64(317.1993861875364)]"
20,50,1.5,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,50,2.0,1.0,0.3,335.75560411318105,8.384600857197938,"[np.float64(329.4779768690581), np.float64(347.6062398431411), np.float64(330.1825956273439)]"
20,50,2.0,1.0,0.4,330.3230407190099,9.96926596218595,"[np.float64(323.7186266666966), np.float64(344.4125403622417), np.float64(322.83795512809144)]"
20,50,2.0,1.0,0.5,335.4773398424703,9.600470099608426,"[np.float64(327.68067660254025), np.float64(329.7495314809809), np.float64(349.0018114438898)]"
20,50,2.0,1.5,0.3,327.4768029608981,10.79566509531399,"[np.float64(322.83795512809144), np.float64(317.1993861875364), np.float64(342.39306756706645)]"
20,50,2.0,1.5,0.4,328.9873758873121,7.221295296032806,"[np.float64(339.0872610350013), np.float64(325.2469746955451), np.float64(322.6278919313899)]"
20,50,2.0,1.5,0.5,335.9139146775381,9.778478270458512,"[np.float64(323.7186266666966), np.float64(347.6581655116847), np.float64(336.364951854233)]"
20,50,2.0,2.0,0.3,323.08280476725946,8.320410348562193,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(334.84964192670554)]"
20,50,2.0,2.0,0.4,320.17236748559634,4.204430472397869,"[np.float64(317.1993861875364), np.float64(326.11833008171607), np.float64(317.1993861875364)]"
20,50,2.0,2.0,0.5,319.00888810215423,2.5590221487926317,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(322.6278919313899)]"
20,100,1.0,1.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.0,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,1.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
