algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,sphere,beta,1.0,2284.6063884237838,1118.9576911199088,687.4625787277805,4328.696792395898
CS,sphere,beta,1.2,5502.225708134954,3140.910685629212,1651.4547953285205,10912.820524223134
CS,sphere,beta,1.5,4907.268265929317,2877.762222689053,1138.165627213641,10123.376960228084
CS,sphere,beta,1.8,5819.917600305332,2080.5396277977493,2553.9162721513226,9540.73620226132
CS,sphere,beta,2.0,6661.5332207324,3620.190799546904,2677.4193052611863,15094.719467916866
