algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,rastrigin,alpha,0.001,85.0215978900855,11.145263150989415,63.56341721797415,94.863755196847
CS,rastrigin,alpha,0.01,69.8818889516991,10.60867099072101,53.49878035880556,87.34761053197356
CS,rastrigin,alpha,0.05,47.49107702657826,8.882195022900158,31.286712035605717,61.2060298328219
CS,rastrigin,alpha,0.1,50.62316153743253,24.56921809204047,22.355362435102677,89.40451488442596
CS,rastrigin,alpha,0.2,33.655920283648015,19.625936430341962,11.00710712476797,78.2648914374638
