algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,ackley,alpha,0.001,17.73379224849827,1.497641085184769,15.156269191096765,19.979957220376168
CS,ackley,alpha,0.01,17.166364834016548,2.131128679295252,11.148261186381141,18.836348131843632
CS,ackley,alpha,0.05,15.311260910119653,1.8846695989966267,11.699725260311025,17.90810055481286
CS,ackley,alpha,0.1,13.191290874436703,3.5626843486898143,6.6209154021825825,17.842700823367856
CS,ackley,alpha,0.2,6.411888346648226,5.003503667307752,0.7659820859093895,15.311602901156972
