algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,sphere,pa,0.1,11316.745607868588,1868.9823877434349,8651.596436036485,15592.215869512333
CS,sphere,pa,0.2,7353.801781725559,1846.936143740897,4510.885266847555,11078.44673724107
CS,sphere,pa,0.25,4907.268265929317,2877.762222689053,1138.165627213641,10123.376960228084
CS,sphere,pa,0.3,3157.253266869548,1528.7859314165275,1173.0665302490768,6044.648848376344
CS,sphere,pa,0.4,1269.357355255887,1316.2242222513019,31.149977974830428,3915.206627488255
