algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,rastrigin,beta,1.0,54.0248093156304,25.2239056507439,22.77852411002921,92.47820113204348
CS,rastrigin,beta,1.2,60.3625589430216,18.488561589762575,22.62557928579659,92.47820113204348
CS,rastrigin,beta,1.5,69.8818889516991,10.60867099072101,53.49878035880556,87.34761053197356
CS,rastrigin,beta,1.8,74.09061148712217,15.242266777872855,45.156494304676805,94.88913054937126
CS,rastrigin,beta,2.0,83.04590244273653,13.183559336012001,60.702666886417006,101.25376351209245
