algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,rastrigin,pa,0.1,71.2148639585591,13.460466432488602,51.64026566424677,94.93754514800352
CS,rastrigin,pa,0.2,68.25863415611329,16.89490796630128,43.42254806920857,101.25376351209245
CS,rastrigin,pa,0.25,69.8818889516991,10.60867099072101,53.49878035880556,87.34761053197356
CS,rastrigin,pa,0.3,58.38533678401848,16.244016700438603,27.382105265130804,92.6105301544479
CS,rastrigin,pa,0.4,45.69235651861165,14.10871055009098,24.18561664787481,72.3968280494058
