algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
CS,sphere,alpha,0.001,7707.077183354672,3638.957786922931,3122.4115701908618,15094.719467916866
CS,sphere,alpha,0.01,4907.268265929317,2877.762222689053,1138.165627213641,10123.376960228084
CS,sphere,alpha,0.05,2699.3702190771637,2231.8766494932925,62.257136892712694,8054.060024800503
CS,sphere,alpha,0.1,1036.4450197457052,1276.8728177200996,94.39855637351138,4022.7019523693457
CS,sphere,alpha,0.2,167.5848418238042,240.46889246067877,1.4395714944976814,693.3123483003403
