algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
ABC,sphere,limit_multiplier,0.5,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
ABC,sphere,limit_multiplier,1.0,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
ABC,sphere,limit_multiplier,1.5,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
ABC,sphere,limit_multiplier,2.0,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
ABC,sphere,limit_multiplier,3.0,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
