algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
ABC,sphere,colony_size,30,0.00447006785371907,0.005610251318362376,0.00010748744353373734,0.01514436044819513
ABC,sphere,colony_size,50,0.0004935988279099375,0.0008165078393665995,9.234437471281833e-06,0.0029119923828317645
ABC,sphere,colony_size,75,0.00023365952120916927,0.00029207019668673863,1.1750159033930613e-05,0.0009436021410298614
ABC,sphere,colony_size,100,4.762351648762612e-05,1.9576640789022535e-05,2.2008571584402642e-05,8.061063745871373e-05
