algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
PSO,sphere,c1,0.5,37.83388450631421,19.743332956822467,11.625788410568697,85.0287410725568
PSO,sphere,c1,1.0,29.500635200115518,15.652246516112807,5.346270449351938,62.74347688268347
PSO,sphere,c1,1.49445,32.56598074652941,20.77544568153753,4.789714038027555,76.86712786030549
PSO,sphere,c1,2.0,32.702470336269336,20.216520657506653,5.338419008611139,100.38804974725687
PSO,sphere,c1,2.5,30.75789282767009,17.090162977923907,5.10624153652279,66.60908017964572
