algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
PSO,sphere,c2,0.5,19.1623351736091,16.015606227298328,3.3238711826921787,76.838130262116
PSO,sphere,c2,1.0,26.1554093601925,14.774166634380704,4.083050388817807,64.8603974108618
PSO,sphere,c2,1.49445,32.56598074652941,20.77544568153753,4.789714038027555,76.86712786030549
PSO,sphere,c2,2.0,30.409917422032876,14.745653922259413,6.86388413213062,56.49902182137743
PSO,sphere,c2,2.5,31.45499133392691,19.60550659331576,5.406997466775745,98.06282582178464
