algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
PSO,rastrigin,c2,0.5,33.939073204051546,8.564641990119172,18.983252972693236,48.048124964476926
PSO,rastrigin,c2,1.0,36.70075713559705,7.212501153614338,21.538475021777558,46.802498440327916
PSO,rastrigin,c2,1.49445,34.3785837820056,9.428062384904868,12.703365802400242,48.64664052761762
PSO,rastrigin,c2,2.0,34.12627864410071,10.413965861876559,10.774779054781405,53.82178947155063
PSO,rastrigin,c2,2.5,34.56016562903052,7.954049536040512,18.9072418684883,48.534900110942765
