algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
PSO,ackley,c2,0.5,2.978924360928563,0.5660480072608586,1.9948647965597286,4.302515090799226
PSO,ackley,c2,1.0,3.796001702414204,0.5851693390833954,2.6681913518262843,5.076414409854664
PSO,ackley,c2,1.49445,3.8662128890191925,0.6321927041606902,2.5887173034934183,5.164612238964967
PSO,ackley,c2,2.0,3.780635804534095,0.5847232045322452,2.5006722861156594,4.746746743165843
PSO,ackley,c2,2.5,3.8515825663519334,0.6218757772153192,2.569770654552809,5.204249174141339
