algorithm,function,parameter,value,best_mean,best_std,best_min,best_max
PSO,ackley,c1,0.5,4.247891861357343,0.911258950443769,2.590716602185321,6.190267253426825
PSO,ackley,c1,1.0,3.823706768488019,0.5430280627296233,2.604372430097975,5.0175383520744745
PSO,ackley,c1,1.49445,3.8662128890191925,0.6321927041606902,2.5887173034934183,5.164612238964967
PSO,ackley,c1,2.0,3.8976825090739182,0.5844331936068219,2.8173817595660755,4.978673052371455
PSO,ackley,c1,2.5,3.702677914578406,0.5186262436791377,2.450041841481053,4.524750008312811
